"","Var1","Freq"
"9","cancer",9
"7","breast cancer",5
"17","covid-19",4
"4","alzheimer's disease",3
"5","bladder",3
"49","prostate cancer",3
"16","colorectal cancer",2
"21","esophageal",2
"46","pancreatic cancer",2
"1","acute hypoxic response",1
"2","aging",1
"3","alzheimer's",1
"6","brain metastasis",1
"8","breast tumor",1
"10","cancer genetics",1
"11","cancers",1
"12","chondrosarcoma",1
"13","chronic lymphocytic leukemia",1
"14","colon adenocarcinoma",1
"15","colorectal",1
"18","crohn's disease",1
"19","drug discovery",1
"20","epithelial ovarian cancer",1
"22","glioblastoma",1
"23","head and neck cancer",1
"24","hematopoietic malignancies",1
"25","hepatocellular carcinoma",1
"26","hiv-1",1
"27","immunology",1
"28","inflammatory bowel disease-induced hyperplasia",1
"29","irritable bowel syndrome",1
"30","leukemia",1
"31","liver diseases",1
"32","liver fibrosis",1
"33","lung squamous cell carcinoma",1
"34","medulloblastoma",1
"35","melanoma",1
"36","mitochondrial disease",1
"37","network",1
"38","non-small-cell lung cancer",1
"39","non-small lung cell carcinoma",1
"40","onco-immune",1
"41","oncological diseases",1
"42","oncology",1
"43","oral tumour",1
"44","ovarian cancer",1
"45","pan-cancer",1
"47","papillary thyroid cancer",1
"48","placenta percreta",1
"50","reovirus",1
"51","thyroid cancer",1
"52","tissue sarcoma",1
