Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Synthesis of IP3 and IP4 in the cytosol Homo sapiens R-HSA-1855204	3/25	3.252704029670916E-5	0.006863205502605633	0	0	57.81818181818182	597.4606436592223	PLCB3;INPPL1;PLCG1
Inositol phosphate metabolism Homo sapiens R-HSA-1483249	3/44	1.811421903351466E-4	0.019110501080357965	0	0	30.994810586403737	267.0583626754283	PLCB3;INPPL1;PLCG1
Signaling by EGFRvIII in Cancer Homo sapiens R-HSA-5637812	2/15	6.299020654549659E-4	0.030724884266069754	0	0	63.90064102564103	470.9442866528224	CDC37;PLCG1
Constitutive Signaling by EGFRvIII Homo sapiens R-HSA-5637810	2/15	6.299020654549659E-4	0.030724884266069754	0	0	63.90064102564103	470.9442866528224	CDC37;PLCG1
Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants Homo sapiens R-HSA-1236382	2/19	0.0010193089566942573	0.030724884266069754	0	0	48.85539215686274	336.54673838088314	CDC37;PLCG1
Signaling by Ligand-Responsive EGFR Variants in Cancer Homo sapiens R-HSA-5637815	2/19	0.0010193089566942573	0.030724884266069754	0	0	48.85539215686274	336.54673838088314	CDC37;PLCG1
Signaling by EGFR in Cancer Homo sapiens R-HSA-1643713	2/19	0.0010193089566942573	0.030724884266069754	0	0	48.85539215686274	336.54673838088314	CDC37;PLCG1
Synthesis of PIPs at the plasma membrane Homo sapiens R-HSA-1660499	2/34	0.003265007400933762	0.08611457019962798	0	0	25.934895833333332	148.46413612460563	INPPL1;PIP5K1C
Signaling by ERBB2 Homo sapiens R-HSA-1227986	2/45	0.0056617913266769635	0.13273755221431546	0	0	19.289728682170544	99.80534454493326	CDC37;PLCG1
Gene Expression Homo sapiens R-HSA-74160	10/1631	0.00636926911223741	0.13439157826820936	0	0	2.8268044417026528	14.293088063418487	EDC4;GTF3C1;PTBP1;UPF1;MED25;PUS1;NOP2;DGCR8;DHX38;CARS2
Nonhomologous End-Joining (NHEJ) Homo sapiens R-HSA-5693571	2/52	0.007499481830469069	0.1438536969299067	0	0	16.583333333333332	81.14094572244915	HERC2;TP53BP1
Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks Homo sapiens R-HSA-5693565	2/58	0.00926028293931899	0.14897082894682398	0	0	14.802083333333334	69.30366021141536	HERC2;TP53BP1
DNA Double Strand Break Response Homo sapiens R-HSA-5693606	2/59	0.009570010787955807	0.14897082894682398	0	0	14.541666666666666	67.6059670933825	HERC2;TP53BP1
PI Metabolism Homo sapiens R-HSA-1483255	2/60	0.009884320404054672	0.14897082894682398	0	0	14.290229885057471	65.97521300057967	INPPL1;PIP5K1C
