Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Formation of a pool of free 40S subunits Homo sapiens R-HSA-72689	15/96	1.0324078752941029E-23	4.263844524964645E-21	0	0	105.12698412698413	5564.115109220018	RPL30;RPL41;RPL32;RPL23A;RPL7;RPS25;RPS28;RPS27;RPS29;EIF3H;RPL27;RPS20;RPS27A;RPS21;RPS23
L13a-mediated translational silencing of Ceruloplasmin expression Homo sapiens R-HSA-156827	15/106	5.0336157716552365E-23	6.034662070524236E-21	0	0	93.52747252747253	4802.010817184942	RPL30;RPL41;RPL32;RPL23A;RPL7;RPS25;RPS28;RPS27;RPS29;EIF3H;RPL27;RPS20;RPS27A;RPS21;RPS23
3' -UTR-mediated translational regulation Homo sapiens R-HSA-157279	15/106	5.0336157716552365E-23	6.034662070524236E-21	0	0	93.52747252747253	4802.010817184942	RPL30;RPL41;RPL32;RPL23A;RPL7;RPS25;RPS28;RPS27;RPS29;EIF3H;RPL27;RPS20;RPS27A;RPS21;RPS23
GTP hydrolysis and joining of the 60S ribosomal subunit Homo sapiens R-HSA-72706	15/107	5.844709027142117E-23	6.034662070524236E-21	0	0	92.50621118012423	4735.755604877992	RPL30;RPL41;RPL32;RPL23A;RPL7;RPS25;RPS28;RPS27;RPS29;EIF3H;RPL27;RPS20;RPS27A;RPS21;RPS23
Viral mRNA Translation Homo sapiens R-HSA-192823	14/84	1.4122779556224203E-22	8.24437645117699E-21	0	0	110.44444444444444	5556.644229478285	RPL30;RPL41;RPL32;RPL23A;RPL7;RPS25;RPS28;RPS27;RPS29;RPL27;RPS20;RPS27A;RPS21;RPS23
Peptide chain elongation Homo sapiens R-HSA-156902	14/84	1.4122779556224203E-22	8.24437645117699E-21	0	0	110.44444444444444	5556.644229478285	RPL30;RPL41;RPL32;RPL23A;RPL7;RPS25;RPS28;RPS27;RPS29;RPL27;RPS20;RPS27A;RPS21;RPS23
Cap-dependent Translation Initiation Homo sapiens R-HSA-72737	15/114	1.5969736467170924E-22	8.24437645117699E-21	0	0	85.93506493506493	4312.974493853674	RPL30;RPL41;RPL32;RPL23A;RPL7;RPS25;RPS28;RPS27;RPS29;EIF3H;RPL27;RPS20;RPS27A;RPS21;RPS23
Eukaryotic Translation Initiation Homo sapiens R-HSA-72613	15/114	1.5969736467170924E-22	8.24437645117699E-21	0	0	85.93506493506493	4312.974493853674	RPL30;RPL41;RPL32;RPL23A;RPL7;RPS25;RPS28;RPS27;RPS29;EIF3H;RPL27;RPS20;RPS27A;RPS21;RPS23
Selenocysteine synthesis Homo sapiens R-HSA-2408557	14/87	2.3947250761874586E-22	9.890214564654204E-21	0	0	105.8896499238965	5271.56835845976	RPL30;RPL41;RPL32;RPL23A;RPL7;RPS25;RPS28;RPS27;RPS29;RPL27;RPS20;RPS27A;RPS21;RPS23
Eukaryotic Translation Termination Homo sapiens R-HSA-72764	14/87	2.3947250761874586E-22	9.890214564654204E-21	0	0	105.8896499238965	5271.56835845976	RPL30;RPL41;RPL32;RPL23A;RPL7;RPS25;RPS28;RPS27;RPS29;RPL27;RPS20;RPS27A;RPS21;RPS23
Eukaryotic Translation Elongation Homo sapiens R-HSA-156842	14/89	3.3680352603628634E-22	1.1591654687748854E-20	0	0	103.05555555555556	5095.328683388003	RPL30;RPL41;RPL32;RPL23A;RPL7;RPS25;RPS28;RPS27;RPS29;RPL27;RPS20;RPS27A;RPS21;RPS23
Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC) Homo sapiens R-HSA-975956	14/89	3.3680352603628634E-22	1.1591654687748854E-20	0	0	103.05555555555556	5095.328683388003	RPL30;RPL41;RPL32;RPL23A;RPL7;RPS25;RPS28;RPS27;RPS29;RPL27;RPS20;RPS27A;RPS21;RPS23
Nonsense-Mediated Decay (NMD) Homo sapiens R-HSA-927802	14/106	4.5332473746128234E-21	1.337307975510783E-19	0	0	83.94082125603865	3932.0271655464135	RPL30;RPL41;RPL32;RPL23A;RPL7;RPS25;RPS28;RPS27;RPS29;RPL27;RPS20;RPS27A;RPS21;RPS23
Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC) Homo sapiens R-HSA-975957	14/106	4.5332473746128234E-21	1.337307975510783E-19	0	0	83.94082125603865	3932.0271655464135	RPL30;RPL41;RPL32;RPL23A;RPL7;RPS25;RPS28;RPS27;RPS29;RPL27;RPS20;RPS27A;RPS21;RPS23
SRP-dependent cotranslational protein targeting to membrane Homo sapiens R-HSA-1799339	14/107	5.206903521936954E-21	1.4336341030399747E-19	0	0	83.03405017921148	3878.0473232536515	RPL30;RPL41;RPL32;RPL23A;RPL7;RPS25;RPS28;RPS27;RPS29;RPL27;RPS20;RPS27A;RPS21;RPS23
Selenoamino acid metabolism Homo sapiens R-HSA-2408522	14/111	8.939794276285706E-21	2.307584397566248E-19	0	0	79.59392898052693	3674.35617912103	RPL30;RPL41;RPL32;RPL23A;RPL7;RPS25;RPS28;RPS27;RPS29;RPL27;RPS20;RPS27A;RPS21;RPS23
Translation Homo sapiens R-HSA-72766	15/151	1.2999272999658816E-20	3.158058675799465E-19	0	0	62.4390756302521	2859.047405063672	RPL30;RPL41;RPL32;RPL23A;RPL7;RPS25;RPS28;RPS27;RPS29;EIF3H;RPL27;RPS20;RPS27A;RPS21;RPS23
Influenza Viral RNA Transcription and Replication Homo sapiens R-HSA-168273	14/128	7.186413460055009E-20	1.6488826438903993E-18	0	0	67.66666666666667	2982.7134853666166	RPL30;RPL41;RPL32;RPL23A;RPL7;RPS25;RPS28;RPS27;RPS29;RPL27;RPS20;RPS27A;RPS21;RPS23
Influenza Life Cycle Homo sapiens R-HSA-168255	14/136	1.7328673385686707E-19	3.766706372783479E-18	0	0	63.2040072859745	2730.3713564508594	RPL30;RPL41;RPL32;RPL23A;RPL7;RPS25;RPS28;RPS27;RPS29;RPL27;RPS20;RPS27A;RPS21;RPS23
Influenza Infection Homo sapiens R-HSA-168254	14/147	5.331413160066321E-19	1.100936817553695E-17	0	0	57.94444444444444	2438.041497174839	RPL30;RPL41;RPL32;RPL23A;RPL7;RPS25;RPS28;RPS27;RPS29;RPL27;RPS20;RPS27A;RPS21;RPS23
Major pathway of rRNA processing in the nucleolus Homo sapiens R-HSA-6791226	14/166	3.0524785083979646E-18	6.003207733182665E-17	0	0	50.65277777777778	2042.855794323202	RPL30;RPL41;RPL32;RPL23A;RPL7;RPS25;RPS28;RPS27;RPS29;RPL27;RPS20;RPS27A;RPS21;RPS23
rRNA processing Homo sapiens R-HSA-72312	14/180	9.68771350134713E-18	1.818648034571075E-16	0	0	46.34805890227577	1815.7164108919837	RPL30;RPL41;RPL32;RPL23A;RPL7;RPS25;RPS28;RPS27;RPS29;RPL27;RPS20;RPS27A;RPS21;RPS23
Metabolism Homo sapiens R-HSA-1430728	29/1908	1.9128698022018112E-17	3.4348488187362957E-16	0	0	13.281101903241339	511.2605592678685	NDUFB9;RPL30;COX7B;RPL32;UQCRB;NDUFB11;NDUFB2;UQCR11;UQCR10;PSMA7;UQCRH;RPL7;ATP5L;RPS27A;A2M;RPL41;MDH2;RPL23A;COX6C;RPS25;RPS28;RPS27;NDUFS6;RPS29;NDUFS5;RPL27;RPS20;RPS21;RPS23
Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins. Homo sapiens R-HSA-163200	12/109	3.760584992105568E-17	6.471340007248331E-16	0	0	64.63266413456321	2444.3667716552623	NDUFB9;COX7B;UQCRB;NDUFS6;NDUFB11;NDUFS5;NDUFB2;UQCR11;UQCR10;COX6C;UQCRH;ATP5L
The citric acid (TCA) cycle and respiratory electron transport Homo sapiens R-HSA-1428517	13/153	5.087248312913574E-17	8.404134212933224E-16	0	0	49.71621621621622	1865.2136994810753	NDUFB9;COX7B;UQCRB;NDUFB11;MDH2;NDUFB2;UQCR11;UQCR10;COX6C;UQCRH;ATP5L;NDUFS6;NDUFS5
Respiratory electron transport Homo sapiens R-HSA-611105	11/88	2.034118815893318E-16	3.231119503707463E-15	0	0	72.7948717948718	2630.1732622605455	NDUFB9;COX7B;UQCRB;NDUFS6;NDUFB11;NDUFS5;NDUFB2;UQCR11;UQCR10;COX6C;UQCRH
Metabolism of amino acids and derivatives Homo sapiens R-HSA-71291	15/335	2.2213997237694024E-15	3.397918836728753E-14	0	0	26.290178571428573	887.0474215718749	RPL30;RPL41;RPL32;RPL23A;PSMA7;RPL7;RPS25;RPS28;RPS27;RPS29;RPL27;RPS20;RPS27A;RPS21;RPS23
Infectious disease Homo sapiens R-HSA-5663205	15/348	3.894787142053314E-15	5.744811034528638E-14	0	0	25.247104247104247	837.6771399110404	RPL30;RPL41;RPL32;RPL23A;PSMA7;RPL7;RPS25;RPS28;RPS27;RPS29;RPL27;RPS20;RPS27A;RPS21;RPS23
Formation of the ternary complex, and subsequently, the 43S complex Homo sapiens R-HSA-72695	9/50	4.129504088765398E-15	5.880983409172791E-14	0	0	106.59190957763236	3530.3900331186705	RPS25;RPS28;RPS27;RPS29;EIF3H;RPS20;RPS27A;RPS21;RPS23
Ribosomal scanning and start codon recognition Homo sapiens R-HSA-72702	9/57	1.4637958011616327E-14	1.9501537609024333E-13	0	0	91.01524390243902	2899.305009159449	RPS25;RPS28;RPS27;RPS29;EIF3H;RPS20;RPS27A;RPS21;RPS23
Translation initiation complex formation Homo sapiens R-HSA-72649	9/57	1.4637958011616327E-14	1.9501537609024333E-13	0	0	91.01524390243902	2899.305009159449	RPS25;RPS28;RPS27;RPS29;EIF3H;RPS20;RPS27A;RPS21;RPS23
Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S Homo sapiens R-HSA-72662	9/58	1.7294626745207812E-14	2.2320877643033832E-13	0	0	89.15331010452962	2825.124016494901	RPS25;RPS28;RPS27;RPS29;EIF3H;RPS20;RPS27A;RPS21;RPS23
Gene Expression Homo sapiens R-HSA-74160	23/1631	9.863528490599207E-13	1.234435535338628E-11	0	0	9.716832504145938	268.61952435390725	HSPA8;RPL30;COX7B;RPL41;RPL32;RPL23A;COX6C;PSMA7;RPL7;PRDX2;RPS25;RPS28;RPS27;SNRPD2;RPS29;PRDX1;EIF3H;RPL27;RPS20;RPS27A;LAMTOR4;RPS21;RPS23
Metabolism of proteins Homo sapiens R-HSA-392499	18/1074	4.212036212663542E-11	5.116385164206008E-10	0	0	10.064275568181818	240.44047312005506	RPL30;RPL41;RPL32;RPL23A;RPL7;RPS25;CHCHD2;TUBA1B;RPS28;RPS27;RPS29;TOMM7;EIF3H;RPL27;RPS20;RPS27A;RPS21;RPS23
Disease Homo sapiens R-HSA-1643685	15/725	1.4681213282712007E-10	1.732383167360017E-9	0	0	11.613682092555331	262.9554494367055	RPL30;RPL41;RPL32;RPL23A;PSMA7;RPL7;RPS25;RPS28;RPS27;RPS29;RPL27;RPS20;RPS27A;RPS21;RPS23
Complex I biogenesis Homo sapiens R-HSA-6799198	5/49	1.3955295054491645E-7	1.6009824604180691E-6	0	0	50.26767676767677	793.4663167553969	NDUFB9;NDUFS6;NDUFB11;NDUFS5;NDUFB2
TP53 Regulates Metabolic Genes Homo sapiens R-HSA-5628897	5/84	2.1158346705366397E-6	2.3617289700854923E-5	0	0	27.947960618846693	365.16976330312895	PRDX2;COX7B;PRDX1;COX6C;LAMTOR4
Transcriptional Regulation by TP53 Homo sapiens R-HSA-3700989	6/348	2.2151208526404516E-4	0.0024074866108960698	0	0	7.818181818181818	65.79026119729228	PRDX2;COX7B;PRDX1;RPS27A;COX6C;LAMTOR4
AUF1 (hnRNP D0) binds and destabilizes mRNA Homo sapiens R-HSA-450408	3/54	3.333415993294188E-4	0.0035300020646935886	0	0	24.90488110137672	199.39701474295643	HSPA8;RPS27A;PSMA7
Regulation of mRNA stability by proteins that bind AU-rich elements Homo sapiens R-HSA-450531	3/86	0.0013002540770145727	0.013425123345175462	0	0	15.278390156370161	101.52789088565108	HSPA8;RPS27A;PSMA7
Pink/Parkin Mediated Mitophagy Homo sapiens R-HSA-5205685	2/22	0.001370383663162003	0.013475439354426364	0	0	41.520833333333336	273.7329252658829	TOMM7;RPS27A
Mitophagy Homo sapiens R-HSA-5205647	2/22	0.001370383663162003	0.013475439354426364	0	0	41.520833333333336	273.7329252658829	TOMM7;RPS27A
Cellular responses to stress Homo sapiens R-HSA-2262752	5/367	0.002178861514386729	0.020927204777714398	0	0	6.012277470841007	36.84896471725988	PRDX2;HSPA8;PRDX1;RPS27A;LAMTOR4
Detoxification of Reactive Oxygen Species Homo sapiens R-HSA-3299685	2/33	0.003077847146316263	0.02888979253246856	0	0	26.772849462365592	154.84144163978604	PRDX2;PRDX1
IRS-mediated signalling Homo sapiens R-HSA-112399	4/284	0.005490194977722581	0.048596428147843235	0	0	6.108695652173913	31.794487261643418	PHB;RPS27A;LAMTOR4;PSMA7
Insulin receptor signalling cascade Homo sapiens R-HSA-74751	4/287	0.0056959581367739326	0.048596428147843235	0	0	6.043017360577662	31.23030437987747	PHB;RPS27A;LAMTOR4;PSMA7
IGF1R signaling cascade Homo sapiens R-HSA-2428924	4/288	0.0057656779158458075	0.048596428147843235	0	0	6.021432945499082	31.04549992100745	PHB;RPS27A;LAMTOR4;PSMA7
Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R) Homo sapiens R-HSA-2404192	4/288	0.0057656779158458075	0.048596428147843235	0	0	6.021432945499082	31.04549992100745	PHB;RPS27A;LAMTOR4;PSMA7
IRS-related events triggered by IGF1R Homo sapiens R-HSA-2428928	4/288	0.0057656779158458075	0.048596428147843235	0	0	6.021432945499082	31.04549992100745	PHB;RPS27A;LAMTOR4;PSMA7
Regulation of activated PAK-2p34 by proteasome mediated degradation Homo sapiens R-HSA-211733	2/49	0.006682897030368853	0.05003056272690821	0	0	17.64450354609929	88.36726791367238	RPS27A;PSMA7
CDK-mediated phosphorylation and removal of Cdc6 Homo sapiens R-HSA-69017	2/50	0.006950299465156898	0.05003056272690821	0	0	17.276041666666668	85.84414194819459	RPS27A;PSMA7
Ubiquitin-dependent degradation of Cyclin D1 Homo sapiens R-HSA-69229	2/50	0.006950299465156898	0.05003056272690821	0	0	17.276041666666668	85.84414194819459	RPS27A;PSMA7
Ubiquitin-dependent degradation of Cyclin D Homo sapiens R-HSA-75815	2/50	0.006950299465156898	0.05003056272690821	0	0	17.276041666666668	85.84414194819459	RPS27A;PSMA7
Regulation of Apoptosis Homo sapiens R-HSA-169911	2/50	0.006950299465156898	0.05003056272690821	0	0	17.276041666666668	85.84414194819459	RPS27A;PSMA7
Vpu mediated degradation of CD4 Homo sapiens R-HSA-180534	2/51	0.00722250262714212	0.05003056272690821	0	0	16.922619047619047	83.43788300609687	RPS27A;PSMA7
Autodegradation of the E3 ubiquitin ligase COP1 Homo sapiens R-HSA-349425	2/51	0.00722250262714212	0.05003056272690821	0	0	16.922619047619047	83.43788300609687	RPS27A;PSMA7
p53-Independent DNA Damage Response Homo sapiens R-HSA-69610	2/52	0.007499481830469069	0.05003056272690821	0	0	16.583333333333332	81.14094572244915	RPS27A;PSMA7
p53-Independent G1/S DNA damage checkpoint Homo sapiens R-HSA-69613	2/52	0.007499481830469069	0.05003056272690821	0	0	16.583333333333332	81.14094572244915	RPS27A;PSMA7
Ubiquitin Mediated Degradation of Phosphorylated Cdc25A Homo sapiens R-HSA-69601	2/52	0.007499481830469069	0.05003056272690821	0	0	16.583333333333332	81.14094572244915	RPS27A;PSMA7
Signaling by Insulin receptor Homo sapiens R-HSA-74752	4/311	0.0075305073879991585	0.05003056272690821	0	0	5.5638011613085965	27.20027137648688	PHB;RPS27A;LAMTOR4;PSMA7
Separation of Sister Chromatids Homo sapiens R-HSA-2467813	3/162	0.0077381629124148674	0.05003056272690821	0	0	7.945002007226013	38.62535000995355	RPS27;RPS27A;PSMA7
Vif-mediated degradation of APOBEC3G Homo sapiens R-HSA-180585	2/53	0.0077812124839393305	0.05003056272690821	0	0	16.25735294117647	78.94640668269977	RPS27A;PSMA7
Mitochondrial protein import Homo sapiens R-HSA-1268020	2/54	0.008067670084263163	0.05003056272690821	0	0	15.943910256410257	76.8479024006269	CHCHD2;TOMM7
SCF-beta-TrCP mediated degradation of Emi1 Homo sapiens R-HSA-174113	2/54	0.008067670084263163	0.05003056272690821	0	0	15.943910256410257	76.8479024006269	RPS27A;PSMA7
Stabilization of p53 Homo sapiens R-HSA-69541	2/54	0.008067670084263163	0.05003056272690821	0	0	15.943910256410257	76.8479024006269	RPS27A;PSMA7
Degradation of AXIN Homo sapiens R-HSA-4641257	2/54	0.008067670084263163	0.05003056272690821	0	0	15.943910256410257	76.8479024006269	RPS27A;PSMA7
Hh mutants that don't undergo autocatalytic processing are degraded by ERAD Homo sapiens R-HSA-5362768	2/55	0.008358830212753155	0.05003056272690821	0	0	15.642295597484276	74.83957451132376	RPS27A;PSMA7
Degradation of DVL Homo sapiens R-HSA-4641258	2/56	0.008654668543521428	0.05003056272690821	0	0	15.351851851851851	72.91602120992282	RPS27A;PSMA7
Hh mutants abrogate ligand secretion Homo sapiens R-HSA-5387390	2/57	0.008955160836496808	0.05003056272690821	0	0	15.071969696969697	71.07225417227201	RPS27A;PSMA7
Axon guidance Homo sapiens R-HSA-422475	5/515	0.009070494099028036	0.05003056272690821	0	0	4.235294117647059	19.917438522990558	HSPA8;MYL6;PHB;RPS27A;PSMA7
Mitotic Anaphase Homo sapiens R-HSA-68882	3/173	0.009256239445322821	0.05003056272690821	0	0	7.4267834793491865	34.77559741127963	RPS27;RPS27A;PSMA7
NIK-->noncanonical NF-kB signaling Homo sapiens R-HSA-5676590	2/58	0.00926028293931899	0.05003056272690821	0	0	14.802083333333334	69.30366021141536	RPS27A;PSMA7
CDT1 association with the CDC6:ORC:origin complex Homo sapiens R-HSA-68827	2/58	0.00926028293931899	0.05003056272690821	0	0	14.802083333333334	69.30366021141536	RPS27A;PSMA7
Mitotic Metaphase and Anaphase Homo sapiens R-HSA-2555396	3/174	0.009402262937609816	0.05003056272690821	0	0	7.382978723404255	34.45492114000981	RPS27;RPS27A;PSMA7
Degradation of GLI1 by the proteasome Homo sapiens R-HSA-5610780	2/59	0.009570010787955807	0.05003056272690821	0	0	14.541666666666666	67.6059670933825	RPS27A;PSMA7
GLI3 is processed to GLI3R by the proteasome Homo sapiens R-HSA-5610785	2/59	0.009570010787955807	0.05003056272690821	0	0	14.541666666666666	67.6059670933825	RPS27A;PSMA7
Degradation of GLI2 by the proteasome Homo sapiens R-HSA-5610783	2/59	0.009570010787955807	0.05003056272690821	0	0	14.541666666666666	67.6059670933825	RPS27A;PSMA7
The role of GTSE1 in G2/M progression after G2 checkpoint Homo sapiens R-HSA-8852276	2/59	0.009570010787955807	0.05003056272690821	0	0	14.541666666666666	67.6059670933825	RPS27A;PSMA7
SCF(Skp2)-mediated degradation of p27/p21 Homo sapiens R-HSA-187577	2/59	0.009570010787955807	0.05003056272690821	0	0	14.541666666666666	67.6059670933825	RPS27A;PSMA7
Dectin-1 mediated noncanonical NF-kB signaling Homo sapiens R-HSA-5607761	2/61	0.010203187898195867	0.05267395752443616	0	0	14.04731638418079	64.40771918587598	RPS27A;PSMA7
Autodegradation of Cdh1 by Cdh1:APC/C Homo sapiens R-HSA-174084	2/62	0.010526589465425666	0.05336796516445273	0	0	13.8125	62.9000654557375	RPS27A;PSMA7
p53-Dependent G1/S DNA damage checkpoint Homo sapiens R-HSA-69580	2/63	0.010854501389380216	0.05336796516445273	0	0	13.585382513661202	61.44906812714711	RPS27A;PSMA7
p53-Dependent G1 DNA Damage Response Homo sapiens R-HSA-69563	2/63	0.010854501389380216	0.05336796516445273	0	0	13.585382513661202	61.44906812714711	RPS27A;PSMA7
