Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Eukaryotic Translation Elongation Homo sapiens R-HSA-156842	31/89	9.55E-63	3.73E-60	0	0	559.5753176	79910.67852	RPL30;RPL3;RPL11;RPL8;RPL10A;RPL7;RPS15;RPS16;RPS19;RPL18A;RPS3;RPS11;RPS27A;RPL19;RPS9;RPL41;RPS8;RPS5;RPL22;RPL35A;RPL23A;RPS25;RPS28;RPS27;EEF1D;RPS29;RPL27;RPS20;UBA52;RPS21;RPS23
Formation of a pool of free 40S subunits Homo sapiens R-HSA-72689	31/96	1.63E-61	3.17E-59	0	0	499.1376518	69865.1701	RPL30;RPL3;RPL11;RPL8;RPL10A;RPL7;RPS15;RPS16;RPS19;RPL18A;RPS3;RPS11;RPS27A;RPL19;RPS9;RPL41;RPS8;RPS5;RPL22;RPL35A;RPL23A;RPS25;RPS28;RPS27;EIF3K;RPS29;RPL27;RPS20;UBA52;RPS21;RPS23
Viral mRNA Translation Homo sapiens R-HSA-192823	30/84	6.06E-61	5.90E-59	0	0	552.6666667	76630.94214	RPL30;RPL3;RPL11;RPL8;RPL10A;RPL7;RPS15;RPS16;RPS19;RPL18A;RPS3;RPS11;RPS27A;RPL19;RPS9;RPL41;RPS8;RPS5;RPL22;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPS29;RPL27;RPS20;UBA52;RPS21;RPS23
Peptide chain elongation Homo sapiens R-HSA-156902	30/84	6.06E-61	5.90E-59	0	0	552.6666667	76630.94214	RPL30;RPL3;RPL11;RPL8;RPL10A;RPL7;RPS15;RPS16;RPS19;RPL18A;RPS3;RPS11;RPS27A;RPL19;RPS9;RPL41;RPS8;RPS5;RPL22;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPS29;RPL27;RPS20;UBA52;RPS21;RPS23
Selenocysteine synthesis Homo sapiens R-HSA-2408557	30/87	2.19E-60	1.42E-58	0	0	523.5	71914.3927	RPL30;RPL3;RPL11;RPL8;RPL10A;RPL7;RPS15;RPS16;RPS19;RPL18A;RPS3;RPS11;RPS27A;RPL19;RPS9;RPL41;RPS8;RPS5;RPL22;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPS29;RPL27;RPS20;UBA52;RPS21;RPS23
Eukaryotic Translation Termination Homo sapiens R-HSA-72764	30/87	2.19E-60	1.42E-58	0	0	523.5	71914.3927	RPL30;RPL3;RPL11;RPL8;RPL10A;RPL7;RPS15;RPS16;RPS19;RPL18A;RPS3;RPS11;RPS27A;RPL19;RPS9;RPL41;RPS8;RPS5;RPL22;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPS29;RPL27;RPS20;UBA52;RPS21;RPS23
Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC) Homo sapiens R-HSA-975956	30/89	5.00E-60	2.68E-58	0	0	505.7033898	69051.84178	RPL30;RPL3;RPL11;RPL8;RPL10A;RPL7;RPS15;RPS16;RPS19;RPL18A;RPS3;RPS11;RPS27A;RPL19;RPS9;RPL41;RPS8;RPS5;RPL22;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPS29;RPL27;RPS20;UBA52;RPS21;RPS23
L13a-mediated translational silencing of Ceruloplasmin expression Homo sapiens R-HSA-156827	31/106	6.19E-60	2.68E-58	0	0	432.3684211	58945.54618	RPL30;RPL3;RPL11;RPL8;RPL10A;RPL7;RPS15;RPS16;RPS19;RPL18A;RPS3;RPS11;RPS27A;RPL19;RPS9;RPL41;RPS8;RPS5;RPL22;RPL35A;RPL23A;RPS25;RPS28;RPS27;EIF3K;RPS29;RPL27;RPS20;UBA52;RPS21;RPS23
3' -UTR-mediated translational regulation Homo sapiens R-HSA-157279	31/106	6.19E-60	2.68E-58	0	0	432.3684211	58945.54618	RPL30;RPL3;RPL11;RPL8;RPL10A;RPL7;RPS15;RPS16;RPS19;RPL18A;RPS3;RPS11;RPS27A;RPL19;RPS9;RPL41;RPS8;RPS5;RPL22;RPL35A;RPL23A;RPS25;RPS28;RPS27;EIF3K;RPS29;RPL27;RPS20;UBA52;RPS21;RPS23
GTP hydrolysis and joining of the 60S ribosomal subunit Homo sapiens R-HSA-72706	31/107	8.71E-60	3.40E-58	0	0	426.6578947	58021.43832	RPL30;RPL3;RPL11;RPL8;RPL10A;RPL7;RPS15;RPS16;RPS19;RPL18A;RPS3;RPS11;RPS27A;RPL19;RPS9;RPL41;RPS8;RPS5;RPL22;RPL35A;RPL23A;RPS25;RPS28;RPS27;EIF3K;RPS29;RPL27;RPS20;UBA52;RPS21;RPS23
Cap-dependent Translation Initiation Homo sapiens R-HSA-72737	31/114	8.58E-59	2.79E-57	0	0	390.5370958	52216.04006	RPL30;RPL3;RPL11;RPL8;RPL10A;RPL7;RPS15;RPS16;RPS19;RPL18A;RPS3;RPS11;RPS27A;RPL19;RPS9;RPL41;RPS8;RPS5;RPL22;RPL35A;RPL23A;RPS25;RPS28;RPS27;EIF3K;RPS29;RPL27;RPS20;UBA52;RPS21;RPS23
Eukaryotic Translation Initiation Homo sapiens R-HSA-72613	31/114	8.58E-59	2.79E-57	0	0	390.5370958	52216.04006	RPL30;RPL3;RPL11;RPL8;RPL10A;RPL7;RPS15;RPS16;RPS19;RPL18A;RPS3;RPS11;RPS27A;RPL19;RPS9;RPL41;RPS8;RPS5;RPL22;RPL35A;RPL23A;RPS25;RPS28;RPS27;EIF3K;RPS29;RPL27;RPS20;UBA52;RPS21;RPS23
Nonsense-Mediated Decay (NMD) Homo sapiens R-HSA-927802	30/106	2.51E-57	7.00E-56	0	0	392.25	51120.38376	RPL30;RPL3;RPL11;RPL8;RPL10A;RPL7;RPS15;RPS16;RPS19;RPL18A;RPS3;RPS11;RPS27A;RPL19;RPS9;RPL41;RPS8;RPS5;RPL22;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPS29;RPL27;RPS20;UBA52;RPS21;RPS23
Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC) Homo sapiens R-HSA-975957	30/106	2.51E-57	7.00E-56	0	0	392.25	51120.38376	RPL30;RPL3;RPL11;RPL8;RPL10A;RPL7;RPS15;RPS16;RPS19;RPL18A;RPS3;RPS11;RPS27A;RPL19;RPS9;RPL41;RPS8;RPS5;RPL22;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPS29;RPL27;RPS20;UBA52;RPS21;RPS23
SRP-dependent cotranslational protein targeting to membrane Homo sapiens R-HSA-1799339	30/107	3.49E-57	9.07E-56	0	0	387.1363636	50326.92793	RPL30;RPL3;RPL11;RPL8;RPL10A;RPL7;RPS15;RPS16;RPS19;RPL18A;RPS3;RPS11;RPS27A;RPL19;RPS9;RPL41;RPS8;RPS5;RPL22;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPS29;RPL27;RPS20;UBA52;RPS21;RPS23
Translation Homo sapiens R-HSA-72766	32/151	5.96E-57	1.45E-55	0	0	296.2614379	38354.68495	RPL30;RPL3;RPL11;RPL8;RPL10A;RPL7;RPS15;RPS16;RPS19;RPL18A;RPS3;RPS11;RPS27A;RPL19;RPS9;RPL41;RPS8;RPS5;RPL22;RPL35A;RPL23A;RPS25;RPS28;RPS27;EIF3K;EEF1D;RPS29;RPL27;RPS20;UBA52;RPS21;RPS23
Selenoamino acid metabolism Homo sapiens R-HSA-2408522	30/111	1.25E-56	2.87E-55	0	0	367.9444444	47362.1083	RPL30;RPL3;RPL11;RPL8;RPL10A;RPL7;RPS15;RPS16;RPS19;RPL18A;RPS3;RPS11;RPS27A;RPL19;RPS9;RPL41;RPS8;RPS5;RPL22;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPS29;RPL27;RPS20;UBA52;RPS21;RPS23
Influenza Viral RNA Transcription and Replication Homo sapiens R-HSA-168273	30/128	1.66E-54	3.59E-53	0	0	303.8571429	37628.18585	RPL30;RPL3;RPL11;RPL8;RPL10A;RPL7;RPS15;RPS16;RPS19;RPL18A;RPS3;RPS11;RPS27A;RPL19;RPS9;RPL41;RPS8;RPS5;RPL22;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPS29;RPL27;RPS20;UBA52;RPS21;RPS23
