"","x"
"1","RNR2"
"2","RNR1"
"3","KRT19"
"4","S100A6"
"5","RPS6"
"6","FER1L4"
"7","KRT7"
"8","RPL3"
"9","DHRS2"
"10","NEAT1"
"11","RPL11"
"12","CCNL2"
"13","KRT17"
"14","PLEC"
"15","RPL4"
"16","GAPDH"
"17","RPL37"
"18","LAMA5"
"19","KRT18"
"20","RACK1"
"21","FGFR3"
"22","RPL27A"
"23","RPL12"
"24","TNNI2"
"25","RPL35"
"26","RPS3"
"27","SH3GLB2"
"28","RPS20"
"29","SDC1"
"30","FXYD3"
"31","GNAS"
"32","RPL5"
"33","APOL1"
"34","RPL23"
"35","RNF213"
"36","RPL18"
"37","SF3B1"
"38","S100A11"
"39","ALS2CL"
"40","CDK5RAP3"
"41","TMSB4X"
"42","RPL7A"
"43","PLXNB2"
"44","ID1"
"45","SNCG"
"46","VEGFA"
"47","RPL14"
"48","RPS14"
"49","PKM"
"50","AES"
"51","RPL26"
"52","EEF2"
"53","PABPC1"
"54","DDX5"
"55","RPLP2"
"56","RPL29"
"57","GATA3"
"58","SLC14A1"
"59","AUP1"
"60","RPL18A"
"61","DNM2"
"62","RPLP0"
"63","ABCC3"
"64","ELF3"
"65","MLLT6"
"66","RPS7"
"67","RPS23"
"68","MYL6"
"69","NISCH"
"70","SLC20A1"
"71","ATF4"
"72","SPATA20"
"73","RPS12"
"74","ALDOA"
"75","RPSA"
"76","RPL6"
"77","SYTL1"
"78","NOP53"
"79","RGL2"
"80","RPS9"
"81","RPS25"
"82","DDR1"
"83","CDC37"
"84","RPS21"
"85","FAM193B"
"86","SRSF6"
"87","PRRC2C"
"88","PPP1R13L"
"89","PFKL"
"90","KAT2A"
"91","RPL10A"
"92","BCAS1"
"93","RPL27"
"94","AKAP8L"
"95","NXF1"
"96","ERBB2"
"97","XAF1"
"98","ANKRD13D"
"99","TUBGCP6"
"100","HNRNPA2B1"
"101","FAU"
"102","DDX56"
"103","ANXA2"
"104","PPDPF"
"105","P4HB"
"106","SEC61A1"
"107","ARHGAP27"
"108","BCAM"
"109","PPIA"
"110","INTS3"
"111","SPOCD1"
"112","TBX3"
"113","CPSF1"
"114","JUP"
"115","IGFBP4"
"116","TAF1C"
"117","EIF1"
"118","EPS8L1"
"119","TRIM28"
"120","BLCAP"
"121","ARAP1"
"122","CTDSP1"
"123","STX16"
"124","CD151"
"125","SRC"
"126","CXXC1"
"127","PEBP1"
"128","HDAC7"
"129","SLC44A2"
"130","IKBKB"
"131","PABPC1L"
"132","GSDMB"
"133","MGEA5"
"134","SF1"
"135","CD74"
"136","CST3"
"137","NDUFA13"
"138","CAPN1"
"139","TNFRSF14"
"140","GPX2"
"141","EDF1"
"142","OBSL1"
"143","RPS29"
"144","PACS2"
"145","NECTIN1"
"146","BCAT2"
"147","GAS5"
"148","SRSF11"
"149","MYH9"
"150","ITPR3"
"151","NDUFV1"
"152","PTPN18"
"153","FUS"
"154","FBRS"
