"","x"
"1","KRT13"
"2","CRH"
"3","RIC3"
"4","SYT8"
"5","SPOCD1"
"6","LY6D"
"7","TNNT3"
"8","KRT20"
"9","KDM5D"
"10","CLCA4"
"11","PAX8"
"12","PRKY"
"13","GPR78"
"14","TXLNGY"
"15","ERN2"
"16","RPS4Y1"
"17","PLXNB3"
"18","PLCH2"
"19","KRT5"
"20","LINC01268"
"21","LINC00967"
"22","RHEX"
"23","MROH2A"
"24","ANXA10"
"25","MST1R"
"26","NPIPB15"
"27","SERPINB3"
"28","ONECUT2"
"29","C7"
"30","COL22A1"
"31","IFITM10"
"32","GABBR1"
"33","HOXB5"
"34","SOX15"
"35","NEIL1"
"36","C3"
"37","TNNI2"
"38","CPZ"
"39","KBTBD12"
"40","DDX3Y"
"41","STRA6"
"42","GSTA1"
"43","COL9A2"
"44","GIPR"
"45","S100A3"
"46","ARHGAP40"
"47","GABRE"
"48","NLRP2"
"49","FGFR3"
"50","EPOR"
"51","FAR2P1"
"52","FUT3"
"53","EVPLL"
"54","CCDC9B"
"55","MIR31HG"
"56","CYP4F35P"
"57","SCNN1A"
"58","WNT10A"
"59","ADAM28"
"60","H19"
"61","KRT15"
"62","SLC1A6"
"63","IQCA1"
"64","ACSBG1"
"65","TTTY14"
"66","PAPLN"
"67","CEACAM6"
"68","COL17A1"
"69","USP9Y"
"70","GATA2"
"71","MICALCL"
"72","UTY"
"73","ARHGEF4"
"74","TRAF5"
"75","MIR6723"
"76","MIR5047"
"77","GSTM2"
"78","COL27A1"
"79","PLAG1"
"80","LINC00865"
"81","HR"
"82","ST3GAL5"
"83","LINC00930"
"84","C10orf99"
"85","LINC00265"
"86","PSORS1C3"
"87","LOC728392"
"88","ADGRF1"
"89","B3GAT1"
"90","SHH"
"91","PRAP1"
"92","PGGHG"
"93","TMEM184A"
"94","PRICKLE4"
"95","PTN"
"96","APOL1"
"97","C2orf66"
"98","LINC01748"
"99","EIF1AY"
"100","STK36"
"101","HNF1B"
"102","CMYA5"
"103","CAPN3"
"104","MIR34AHG"
"105","SULT4A1"
"106","SPEG"
"107","IVL"
"108","MAP3K12"
"109","GAS2L2"
"110","CP"
"111","TNS4"
"112","NPR2"
"113","LOC692247"
"114","C1orf132"
"115","IQCN"
"116","PNPLA7"
"117","EBF4"
"118","POU5F1"
"119","IGFBP2"
"120","BPIFB1"
"121","KRT7-AS"
"122","PERM1"
"123","CEACAM7"
"124","LINC01980"
"125","SLC14A1"
"126","ARHGAP27P1"
"127","HAS3"
"128","MTRF1"
"129","ALS2CL"
"130","VIPR1"
"131","UCN2"
"132","HERC2P9"
"133","SLC15A1"
"134","HSF4"
"135","GTF2IP20"
"136","DNASE1L2"
"137","CDH26"
"138","ATP8A1"
"139","PDE4C"
"140","HOXB6"
"141","GRIK3"
"142","INTU"
"143","CA12"
"144","GPR173"
"145","NLRP1"
"146","CXCL9"
"147","PWRN1"
"148","LINC01341"
"149","KIAA1456"
"150","KLHL3"
"151","STAG3L5P-PVRIG2P-PILRB"
"152","ADAMTSL5"
"153","GSTA2"
"154","BRINP2"
"155","LOC150776"
"156","LRP5L"
"157","CEP126"
"158","ABCA5"
"159","RGL4"
"160","PLA2G4F"
"161","TNNT2"
"162","TMEM74B"
"163","LONRF2"
"164","MUC4"
"165","ATP2C2-AS1"
"166","CSAD"
"167","LMTK3"
"168","SLC22A20P"
"169","IGLL5"
"170","RNF207"
"171","ALDH1L1"
"172","HOXB-AS3"
"173","MMP28"
"174","REN"
"175","PAQR6"
"176","PLEKHG4"
"177","MIRLET7BHG"
"178","CELSR1"
"179","PKD1"
"180","TNFRSF14-AS1"
"181","CACNB1"
"182","GOLGA8A"
"183","ARHGAP6"
"184","HOTAIRM1"
"185","CCDC191"
"186","S100A2"
"187","WDR27"
"188","STYK1"
"189","FER1L4"
"190","AKR1B10"
"191","MCTP2"
"192","PLEKHG5"
"193","C6"
"194","SMIM5"
"195","LY6G5B"
"196","PLCXD3"
"197","PRSS22"
"198","KRTAP5-10"
"199","S100A9"
"200","TTC14"
"201","TNRC6C-AS1"
"202","AHSA2"
"203","RAPGEF3"
"204","PLEKHH2"
"205","FAT2"
"206","TMEM44"
"207","HSD17B7P2"
"208","MMP9"
"209","MROH7"
"210","ALOX12P2"
"211","MROH3P"
"212","LINC01629"
"213","MIR429"
"214","MYO15B"
"215","BCAM"
"216","FEZF1-AS1"
"217","HERC2P2"
"218","NTF4"
"219","LDOC1"
"220","OR13A1"
"221","TCIM"
"222","KRTAP5-8"
"223","MIR22HG"
"224","RRN3P1"
"225","KLHL17"
"226","PLEKHN1"
"227","TBX6"
"228","LOC100128770"
"229","NOTCH1"
"230","AGAP6"
"231","NSUN7"
"232","USP35"
"233","SNPH"
"234","PROM2"
"235","MAPK8IP3"
"236","AGPAT4"
"237","NPIPA5"
"238","TTLL3"
"239","JCHAIN"
"240","LINC01061"
"241","SNORA70"
"242","PCNX2"
"243","TRERF1"
"244","PTOV1-AS2"
"245","CEACAM5"
"246","APBB1IP"
"247","KIFC2"
"248","ABCC3"
"249","LINC01355"
"250","UGT1A10"
"251","ITGB4"
"252","MDFI"
"253","DQX1"
"254","PRSS1"
"255","LPCAT4"
"256","TMEM198"
"257","MIR205HG"
"258","MTAP"
"259","SCART1"
"260","XDH"
"261","ANO9"
"262","CXCL17"
"263","UBE2CP5"
"264","CELF6"
"265","KCNH4"
"266","VWCE"
"267","TNFRSF25"
"268","KCNAB3"
"269","LCAT"
"270","LOXL4"
"271","CYP2E1"
"272","DRD4"
"273","GPRC5C"
"274","RBBP8NL"
"275","LOC100506990"
"276","SLC23A3"
"277","ATP2C2"
"278","LINC01133"
"279","BCAS1"
"280","CARD14"
"281","CCNL2"
"282","MAMDC4"
"283","AGBL2"
"284","AGER"
"285","ANKRD6"
"286","FAM95C"
"287","FAM24B"
"288","CEMP1"
"289","KIAA0895L"
"290","PYROXD2"
"291","ITIH4"
"292","ATP2B4"
"293","TMEM51-AS1"
"294","SPP1"
"295","LINC00893"
"296","LYNX1"
"297","GNRH1"
"298","PCSK4"
"299","AGAP11"
"300","GJB4"
"301","VAMP1"
"302","LPIN3"
"303","SERINC4"
"304","NLGN4Y"
"305","LHX4-AS1"
"306","PLA2G7"
"307","FAM160B2"
"308","PITPNM2"
"309","APBB3"
"310","NRBP2"
"311","DENND6B"
"312","TLR2"
"313","NPIPB5"
"314","TBX19"
"315","AQP7"
