"","x"
"1","KRT13"
"2","CRH"
"3","RIC3"
"4","SYT8"
"5","SPOCD1"
"6","LY6D"
"7","TNNT3"
"8","KRT20"
"9","CLCA4"
"10","PAX8"
"11","PRKY"
"12","GPR78"
"13","ERN2"
"14","PLXNB3"
"15","PLCH2"
"16","CLIC6"
"17","KRT5"
"18","LINC01268"
"19","LINC00967"
"20","RHEX"
"21","SULT1E1"
"22","MROH2A"
"23","CRTAC1"
"24","ANXA10"
"25","MST1R"
"26","NPIPB15"
"27","ONECUT2"
"28","C7"
"29","COL22A1"
"30","IFITM10"
"31","GABBR1"
"32","HOXB5"
"33","SOX15"
"34","NEIL1"
"35","C3"
"36","TNNI2"
"37","CPZ"
"38","KBTBD12"
"39","STRA6"
"40","GSTA1"
"41","COL9A2"
"42","GIPR"
"43","S100A3"
"44","ARHGAP40"
"45","GABRE"
"46","FGFR3"
"47","EPOR"
"48","FUT3"
"49","EVPLL"
"50","CCDC9B"
"51","HOXB2"
"52","CYP4F35P"
"53","SCNN1A"
"54","WNT10A"
"55","ADAM28"
"56","KRT15"
"57","IQCA1"
"58","ACSBG1"
"59","PAPLN"
"60","COL17A1"
"61","GATA2"
"62","MICALCL"
"63","ARHGEF4"
"64","TRAF5"
"65","MIR5047"
"66","COL27A1"
"67","PLAG1"
"68","LINC00865"
"69","UGT2B15"
"70","HR"
"71","ST3GAL5"
"72","LINC00930"
"73","C10orf99"
"74","LINC00265"
"75","LOC613266"
"76","LOC728392"
"77","ADGRF1"
"78","CERNA2"
"79","PIEZO2"
"80","B3GAT1"
"81","SHH"
"82","PRAP1"
"83","PGGHG"
"84","TMEM184A"
"85","PRICKLE4"
"86","PTN"
"87","APOL1"
"88","C2orf66"
"89","SLC38A5"
"90","STK36"
"91","CMYA5"
"92","CAPN3"
"93","MIR34AHG"
"94","SULT4A1"
"95","SPEG"
"96","IVL"
"97","MAP3K12"
"98","TNS4"
"99","NPR2"
"100","SAMD11"
"101","LOC692247"
"102","C1orf132"
"103","IQCN"
"104","PNPLA7"
"105","EBF4"
"106","TMEM198B"
"107","KRT7-AS"
"108","PERM1"
"109","LINC01980"
"110","SLC14A1"
"111","ARHGAP27P1"
"112","HAS3"
"113","MTRF1"
"114","ALS2CL"
"115","KCNC3"
"116","VIPR1"
"117","UCN2"
"118","HERC2P9"
"119","SLC15A1"
"120","HSF4"
"121","PRSS50"
"122","GTF2IP20"
"123","DNASE1L2"
"124","CDH26"
"125","ATP8A1"
"126","PDE4C"
"127","HOXB6"
"128","INTU"
"129","CA12"
"130","GPR173"
"131","NLRP1"
"132","CXCL9"
"133","DPEP2"
"134","PWRN1"
"135","MAP3K7CL"
"136","LINC01341"
"137","LRFN4"
"138","KIAA1456"
"139","KLHL3"
"140","STAG3L5P-PVRIG2P-PILRB"
"141","ADAMTSL5"
"142","GSTA2"
"143","LOC150776"
"144","LRP5L"
"145","CEP126"
"146","ABCA5"
"147","RGL4"
"148","PLA2G4F"
"149","GOLGA7B"
"150","TMEM74B"
"151","CAPN12"
"152","ISL2"
"153","ATP2C2-AS1"
"154","CSAD"
"155","LMTK3"
"156","IGLL5"
"157","NINL"
"158","RNF207"
"159","EVC2"
"160","ALDH1L1"
"161","HOXB-AS3"
"162","NRG2"
"163","GSDME"
"164","PAQR6"
"165","PLEKHG4"
"166","MIRLET7BHG"
"167","CELSR1"
"168","PKD1"
"169","TNFRSF14-AS1"
"170","CACNB1"
"171","GOLGA8A"
"172","SLC4A3"
"173","ARHGAP6"
"174","HOTAIRM1"
"175","ADAMTS7"
"176","CCDC191"
"177","S100A2"
"178","WDR27"
"179","STYK1"
"180","FER1L4"
"181","AKR1B10"
"182","MCTP2"
"183","LFNG"
"184","PLEKHG5"
"185","PM20D1"
"186","SMIM5"
"187","LY6G5B"
"188","RARRES1"
"189","PLCXD3"
"190","CAPNS2"
"191","AIFM3"
"192","PRSS22"
"193","KRTAP5-10"
"194","S100A9"
"195","TTC14"
"196","TNRC6C-AS1"
"197","AHSA2"
"198","SULT1C2"
"199","RAPGEF3"
"200","PLEKHH2"
"201","FAT2"
"202","CHMP1B2P"
"203","TMEM44"
"204","HSD17B7P2"
"205","KLHL29"
"206","MROH7"
"207","ALOX12P2"
"208","MROH3P"
"209","LINC01629"
"210","MIR429"
"211","MYO15B"
"212","BCAM"
"213","HERC2P2"
"214","BMP7"
"215","NTF4"
"216","LDOC1"
"217","OR13A1"
"218","KRTAP5-8"
"219","MIR22HG"
"220","RRN3P1"
"221","PDE10A"
"222","KLHL17"
"223","PLEKHN1"
"224","TBX6"
"225","LOC100128770"
"226","NOTCH1"
"227","AGAP6"
"228","NSUN7"
"229","USP35"
"230","SNPH"
"231","PROM2"
"232","MAPK8IP3"
"233","AGPAT4"
"234","CPAMD8"
"235","NPIPA5"
"236","TTLL3"
"237","JCHAIN"
"238","LINC01061"
"239","PCNX2"
"240","TRERF1"
"241","PTOV1-AS2"
"242","MIR3064"
"243","MXRA5"
"244","LINC00958"
"245","APBB1IP"
"246","KIFC2"
"247","CYP4F12"
"248","FCHO1"
"249","ABCC3"
"250","LINC01355"
"251","ITGB4"
"252","MDFI"
"253","DQX1"
"254","PRSS1"
"255","LPCAT4"
"256","TMEM198"
"257","MIR205HG"
"258","SCART1"
"259","XDH"
"260","ANO9"
"261","SHISA2"
"262","RINL"
"263","LINC01503"
"264","UBE2CP5"
"265","CELF6"
"266","KCNH4"
"267","VWCE"
"268","TNFRSF25"
"269","KCNAB3"
"270","DUOX1"
"271","LCAT"
"272","FAM83C"
"273","CYP2E1"
"274","DRD4"
"275","GPRC5C"
"276","ADGRB1"
"277","RBBP8NL"
"278","LOC100506990"
"279","SLC23A3"
"280","BCAS1"
"281","CARD14"
"282","CCNL2"
"283","MAMDC4"
"284","AGBL2"
"285","AGER"
"286","ANKRD6"
"287","FAM24B"
"288","LPCAT2"
"289","CEMP1"
"290","KIAA0895L"
"291","PYROXD2"
"292","ITIH4"
"293","TMEM51-AS1"
"294","SPP1"
"295","LINC00893"
"296","LYNX1"
"297","GNRH1"
"298","PCSK4"
"299","AGAP11"
"300","GJB4"
"301","VAMP1"
"302","FLJ46875"
"303","LPIN3"
"304","SERINC4"
"305","SLC26A5"
"306","LHX4-AS1"
"307","PLA2G7"
"308","SPRR1A"
"309","FAM160B2"
"310","PITPNM2"
"311","APBB3"
"312","PINLYP"
"313","NRBP2"
"314","DENND6B"
