"","x"
"1","KRT13"
"2","CRH"
"3","RIC3"
"4","SYT8"
"5","GSTT1"
"6","SPOCD1"
"7","LY6D"
"8","TNNT3"
"9","KRT20"
"10","CLCA4"
"11","PRKY"
"12","GPR78"
"13","TFF1"
"14","ERN2"
"15","ADH1C"
"16","PLXNB3"
"17","PLCH2"
"18","CLIC6"
"19","KRT5"
"20","TRIM31"
"21","PHGR1"
"22","LINC01268"
"23","LINC00967"
"24","RHEX"
"25","SULT1E1"
"26","MROH2A"
"27","CRTAC1"
"28","MST1R"
"29","NPIPB15"
"30","ONECUT2"
"31","CYP2C9"
"32","C7"
"33","COL22A1"
"34","IFITM10"
"35","GABBR1"
"36","HOXB5"
"37","SOX15"
"38","NEIL1"
"39","TNNI2"
"40","CPZ"
"41","LGALS4"
"42","PPP1R1B"
"43","KBTBD12"
"44","COL9A2"
"45","GIPR"
"46","S100A3"
"47","ARHGAP40"
"48","GABRE"
"49","FGFR3"
"50","EPOR"
"51","FUT3"
"52","CCDC9B"
"53","CYP4F35P"
"54","IFNE"
"55","SCNN1A"
"56","WNT10A"
"57","CDH23"
"58","ADAM28"
"59","RASAL1"
"60","KRT15"
"61","PAPLN"
"62","COL17A1"
"63","MISP"
"64","GATA2"
"65","MICALCL"
"66","NRXN3"
"67","ARHGEF4"
"68","TRAF5"
"69","MIR5047"
"70","COL27A1"
"71","LINC01518"
"72","PLAG1"
"73","LINC00865"
"74","HR"
"75","ST3GAL5"
"76","LINC00930"
"77","C10orf99"
"78","LINC00265"
"79","LOC613266"
"80","LOC728392"
"81","CERNA2"
"82","SHH"
"83","PRAP1"
"84","PGGHG"
"85","TMEM184A"
"86","PRICKLE4"
"87","PTN"
"88","APOL1"
"89","C2orf66"
"90","TMPRSS4"
"91","GRIN2D"
"92","STK36"
"93","PP14571"
"94","VTN"
"95","CMYA5"
"96","CAPN3"
"97","MIR34AHG"
"98","IVL"
"99","MAP3K12"
"100","GAS2L2"
"101","TH"
"102","CFH"
"103","TNS4"
"104","PALM3"
"105","NPR2"
"106","LOC692247"
"107","C1orf132"
"108","IQCN"
"109","PNPLA7"
"110","EBF4"
"111","KRT7-AS"
"112","MB"
"113","PERM1"
"114","SLC14A1"
"115","UGT2B7"
"116","ARHGAP27P1"
"117","CLDN10"
"118","HAS3"
"119","MTRF1"
"120","ALS2CL"
"121","VIPR1"
"122","HERC2P9"
"123","SLC15A1"
"124","BAIAP2L2"
"125","PPP1R9A"
"126","HSF4"
"127","PRSS50"
"128","GTF2IP20"
"129","DNASE1L2"
"130","ATP8A1"
"131","INTU"
"132","GPR173"
"133","HPN"
"134","CXCL9"
"135","PWRN1"
"136","MAP3K7CL"
"137","LINC01341"
"138","LRFN4"
"139","KIAA1456"
"140","KLHL3"
"141","SYT7"
"142","STAG3L5P-PVRIG2P-PILRB"
"143","BRINP2"
"144","LOC150776"
"145","CNTN3"
"146","LRP5L"
"147","CEP126"
"148","ABCA5"
"149","RGL4"
"150","PLA2G4F"
"151","TFAP2A"
"152","TMEM74B"
"153","DUOX2"
"154","ATP2C2-AS1"
"155","CSAD"
"156","LMTK3"
"157","IGLL5"
"158","NINL"
"159","INA"
"160","RNF207"
"161","EVC2"
"162","HOXB-AS3"
"163","MMP28"
"164","GSDME"
"165","PAQR6"
"166","PLEKHG4"
"167","MTUS2"
"168","MIRLET7BHG"
"169","PKD1"
"170","TNFRSF14-AS1"
"171","CACNB1"
"172","TTR"
"173","ARHGAP6"
"174","HOTAIRM1"
"175","CCDC191"
"176","WDR27"
"177","RHBG"
"178","FER1L4"
"179","CD36"
"180","MCTP2"
"181","SPAG17"
"182","LFNG"
"183","THNSL2"
"184","PLEKHG5"
"185","PM20D1"
"186","C6"
"187","SMIM5"
"188","SLC52A1"
"189","RARRES1"
"190","PLCXD3"
"191","CAPNS2"
"192","PLCB2"
"193","KRTAP5-10"
"194","S100A9"
"195","TTC14"
"196","TNRC6C-AS1"
"197","AHSA2"
"198","SULT1C2"
"199","RAPGEF3"
"200","PLEKHH2"
"201","FAT2"
"202","CHMP1B2P"
"203","TMEM44"
"204","HSD17B7P2"
"205","KLHL29"
"206","MMP9"
"207","MROH7"
"208","ALOX12P2"
"209","MROH3P"
"210","LINC01629"
"211","MYO15B"
"212","CYP2W1"
"213","HERC2P2"
"214","LDOC1"
"215","OR13A1"
"216","KRTAP5-8"
"217","MIR22HG"
"218","RRN3P1"
"219","PDE10A"
"220","LOC100128770"
"221","AGAP6"
"222","USP35"
"223","SNPH"
"224","PROM2"
"225","MAPK8IP3"
"226","AGPAT4"
"227","CPAMD8"
"228","EPHX3"
"229","HOXB3"
"230","TTLL3"
"231","LINC01061"
"232","PCNX2"
"233","TRERF1"
"234","PTOV1-AS2"
"235","APBB1IP"
"236","KIFC2"
"237","CYP4F12"
"238","FCHO1"
"239","ABCC3"
"240","LINC01355"
"241","DQX1"
"242","PRSS1"
"243","LPCAT4"
"244","TMEM198"
"245","SEMA3B"
"246","ADAMTS15"
"247","AASS"
"248","MGP"
"249","SCART1"
"250","SHISA2"
"251","RINL"
"252","UBE2CP5"
"253","IL33"
"254","CELF6"
"255","KCTD15"
"256","DUOX1"
"257","LCAT"
"258","FAM83C"
"259","EMB"
"260","ELFN1-AS1"
"261","CYP2E1"
"262","GPC3"
"263","DRD4"
"264","LINC01410"
"265","GPRC5C"
"266","RBBP8NL"
"267","SLC23A3"
"268","CYP3A5"
"269","CARD14"
"270","CCNL2"
"271","MAMDC4"
"272","AGBL2"
"273","SYNGR1"
"274","FAM24B"
"275","CEMP1"
"276","NPAP1"
"277","TLE4"
"278","ITIH4"
"279","ATP2B4"
"280","MESP1"
"281","SPTBN5"
"282","SPP1"
"283","TIMP3"
"284","ARL14"
"285","LINC00893"
"286","LZTS3"
"287","PCSK4"
"288","HSD3B1"
"289","KRBOX1"
"290","VAMP1"
"291","ARMCX2"
"292","FLJ46875"
"293","SLC26A5"
"294","PLA2G7"
"295","SPRR1A"
"296","PITPNM2"
"297","APBB3"
"298","NRBP2"
"299","DENND6B"
"300","NPIPB5"
"301","TBX19"
"302","STARD5"
"303","LOC102724323"
"304","AMY2B"
"305","LOC100652768"
"306","NSG1"
"307","NTN5"
"308","PDE1B"
"309","FBXO41"
"310","SULT2A1"
"311","PLXNB1"
"312","LOC100288203"
"313","CYP4F29P"
"314","SEMA4G"
"315","PABPC1L"
"316","GDPD2"
