"";"Sample1";"Sample2";"Sample3";"Sample4";"Sample5";"Sample6";"Sample7";"Sample8";"Sample9";"Sample10";"Sample11";"Sample12";"Sample13";"Sample14";"Sample15";"Sample16"
"KRT13";2,33675405271436;12,6418025517118;3,30052569748647;3,43703342072121;3,61273377425419;7,09196913088835;10,5348626442675;12,8056654761554;10,1506574618133;12,0562837725486;9,79809808987306;9,84946852243032;12,7722417934833;10,2024174564628;12,2213520336485;12,1144132324514
"CRH";-0,165746287814823;-2,8671991963868;7,81858292810806;3,1587322582341;9,5169847721081;8,55358830876341;-5,68402218081137;0,334345899441848;-5,81789684141758;-4,5035563353932;4,34820466384193;-4,36290119834675;-5,23053477259335;-0,883683841132562;2,24385380114599;-4,87097289956267
"RIC3";-1,75070878853598;-2,8671991963868;-3,79750638547406;-0,810894092722377;1,19459036410752;-2,2721655241197;7,00050730160712;-3,57254469616667;5,3081622746531;5,24295798574526;-0,245319850382653;0,495079796780827;6,40925812068596;6,24939075497478;5,87493834773658;6,38818186930417
"GSTM1";5,5980193656951;-1,28223669566565;-2,2125438847529;1,85207092000005;10,4430905216734;0,535189397937901;-0,474568815182418;-1,25061660127931;0,15938308208234;0,140299854381522;9,3312994601676;-0,166503985543242;5,45333709602925;9,05117093479052;-1,31686115332849;-0,347410943505654
"SYT8";5,28271421300147;10,1476930456876;10,6112877243184;2,73342642350143;8,84018668768264;-2,2721655241197;11,6845951113219;11,7822900763489;10,1916912484228;11,0854217553404;8,76870061993228;9,16168132554395;11,1721275894758;10,4316147152311;9,54500118673066;9,88114636551639
"GSTT1";5,06947017387921;-2,8671991963868;6,83093915466313;5,02199592144236;5,51402890696918;-2,2721655241197;5,18248403141483;-0,402619694724358;6,52389993097425;5,48938200077261;6,61798147667818;6,01755986674223;-5,23053477259335;-5,13161135457615;6,21139758942992;-4,87097289956267
"SPOCD1";-0,165746287814823;8,32694204247633;0,109384210134463;-0,0739284985561711;3,25547260625454;0,0497625707676589;8,90111641939623;8,80602111383389;7,31219102633816;8,37660112120861;8,10151043682504;6,40666119038145;7,91841839221577;6,67050106400992;8,33311349782961;8,41226017885052
"MUC2";-0,165746287814823;8,462036545347;-0,627581384031743;0,774068407998779;-3,66339063102005;0,0497625707676589;4,50209205873028;7,6460185400236;8,29917803009858;7,44882091657478;0,40675684619704;-2,77793869762559;-0,101251755648384;-2,80968325968879;2,86900539198284;3,81202168411902
"LY6D";-1,75070878853598;9,8089782804458;1,75708246620358;6,36236662128319;4,31960294367426;-2,2721655241197;5,70560915844915;5,64904242509814;8,66409174240729;9,46663945116198;9,80004978800742;1,91632244558638;6,62550162722581;6,99477047596649;4,23772769834915;7,64497327954685
"TNNT3";-0,165746287814823;-0,0598442743292003;-0,627581384031743;1,06357502519376;-3,66339063102005;-2,2721655241197;5,17628887410811;4,65145697803143;-1,17404065164285;2,18294419179002;2,61975056953124;8,55378691837837;7,73001024061831;6,66321061875508;4,6138761842344;6,4515186380348
