"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12","Sample13","Sample14","Sample15","Sample16"
"HIST2H2AB",15.2657687021927,13.7558416944739,15.0872263486251,15.6399308823791,15.0569806123965,14.8574049717271,14.9545600077131,14.7026376338635,1.07898322248678,1.07898322248678,14.4157610816634,1.07898322248678,1.07898322248678,1.07898322248678,1.07898322248678,1.07898322248678
"KRT79",13.0118326504969,13.3872384528162,11.6759197164128,1.07898322248678,13.1078104153623,1.07898322248678,1.07898322248678,12.9975381325859,1.07898322248678,1.07898322248678,1.07898322248678,13.2735063403008,13.3062324755658,14.2584248318695,13.7077687969532,1.07898322248678
"HIST1H3A",14.1346331427447,13.3090962220322,14.3547708726738,14.0903692720221,13.6417886518858,13.9468280861894,13.8975204604334,14.2227476207099,1.07898322248678,1.07898322248678,13.6498173704171,1.07898322248678,1.07898322248678,13.1877020832648,1.07898322248678,13.3312665296424
"TUBA1B",13.6612133766174,12.9077329958828,1.07898322248678,13.2745398557397,1.07898322248678,12.9179029577297,12.6340393107296,12.8728678381589,12.4544012152146,1.07898322248678,12.6252226901778,1.07898322248678,1.07898322248678,1.07898322248678,1.07898322248678,12.9031583188441
"TUBA1C",1.07898322248678,1.07898322248678,12.6345575287875,1.07898322248678,12.9599585870104,1.07898322248678,1.07898322248678,1.07898322248678,1.07898322248678,12.5431532428008,1.07898322248678,12.2049722896869,13.0209480305182,12.883426502623,12.5204997735976,12.9031583188441
"POTEF",14.7048169218388,1.07898322248678,14.7941144857402,14.1056174665695,1.07898322248678,1.07898322248678,1.07898322248678,1.07898322248678,1.07898322248678,1.07898322248678,13.8785191647333,1.07898322248678,1.07898322248678,1.07898322248678,1.07898322248678,1.07898322248678
"KRT5",1.07898322248678,12.7306688847432,11.5806654428579,1.07898322248678,1.07898322248678,1.07898322248678,13.286363930947,12.2674559566335,1.07898322248678,13.2914227678216,13.4351448767095,12.1694619844174,15.1569343181595,10.8030627514985,13.2061334574963,13.4081869640896
"TUBA4A",1.07898322248678,1.07898322248678,1.07898322248678,1.07898322248678,1.07898322248678,12.8867338133385,12.508999927719,1.07898322248678,1.07898322248678,12.4816025171917,1.07898322248678,1.07898322248678,1.07898322248678,12.5288827000935,1.07898322248678,12.7749235004765
"TRAP1",1.07898322248678,11.4963066245207,1.07898322248678,11.3559021704222,13.3245579571111,1.07898322248678,1.07898322248678,1.07898322248678,10.8749597766123,1.07898322248678,11.1729694660461,1.07898322248678,11.8744240416073,1.07898322248678,11.5317757954634,1.07898322248678
"POTEE",1.07898322248678,15.1040319222644,1.07898322248678,1.07898322248678,1.07898322248678,14.4635010365338,1.07898322248678,1.07898322248678,1.07898322248678,1.07898322248678,1.07898322248678,1.07898322248678,1.07898322248678,1.07898322248678,1.07898322248678,14.0701404521998
