"";"x"
"1";"hsa-let-7a-1"
"2";"hsa-let-7a-2"
"3";"hsa-let-7a-3"
"4";"hsa-let-7b"
"5";"hsa-let-7c"
"6";"hsa-let-7d"
"7";"hsa-let-7e"
"8";"hsa-let-7f-1"
"9";"hsa-let-7f-2"
"10";"hsa-let-7g"
"11";"hsa-let-7i"
"12";"hsa-mir-100"
"13";"hsa-mir-101-1"
"14";"hsa-mir-101-2"
"15";"hsa-mir-103-1"
"16";"hsa-mir-103-2"
"17";"hsa-mir-106a"
"18";"hsa-mir-106b"
"19";"hsa-mir-107"
"20";"hsa-mir-10a"
"21";"hsa-mir-10b"
"22";"hsa-mir-125a"
"23";"hsa-mir-125b-1"
"24";"hsa-mir-126"
"25";"hsa-mir-127"
"26";"hsa-mir-128-1"
"27";"hsa-mir-128-2"
"28";"hsa-mir-1287"
"29";"hsa-mir-1301"
"30";"hsa-mir-1307"
"31";"hsa-mir-130a"
"32";"hsa-mir-130b"
"33";"hsa-mir-132"
"34";"hsa-mir-134"
"35";"hsa-mir-139"
"36";"hsa-mir-140"
"37";"hsa-mir-141"
"38";"hsa-mir-142"
"39";"hsa-mir-143"
"40";"hsa-mir-144"
"41";"hsa-mir-145"
"42";"hsa-mir-146a"
"43";"hsa-mir-146b"
"44";"hsa-mir-148a"
"45";"hsa-mir-148b"
"46";"hsa-mir-149"
"47";"hsa-mir-150"
"48";"hsa-mir-151"
"49";"hsa-mir-152"
"50";"hsa-mir-155"
"51";"hsa-mir-15a"
"52";"hsa-mir-15b"
"53";"hsa-mir-16-1"
"54";"hsa-mir-16-2"
"55";"hsa-mir-17"
"56";"hsa-mir-181a-1"
"57";"hsa-mir-181a-2"
"58";"hsa-mir-181b-1"
"59";"hsa-mir-181c"
"60";"hsa-mir-181d"
"61";"hsa-mir-182"
"62";"hsa-mir-183"
"63";"hsa-mir-185"
"64";"hsa-mir-186"
"65";"hsa-mir-191"
"66";"hsa-mir-192"
"67";"hsa-mir-193a"
"68";"hsa-mir-193b"
"69";"hsa-mir-194-1"
"70";"hsa-mir-194-2"
"71";"hsa-mir-195"
"72";"hsa-mir-196a-1"
"73";"hsa-mir-196b"
"74";"hsa-mir-197"
"75";"hsa-mir-199a-1"
"76";"hsa-mir-199a-2"
"77";"hsa-mir-199b"
"78";"hsa-mir-19b-2"
"79";"hsa-mir-200a"
"80";"hsa-mir-200b"
"81";"hsa-mir-200c"
"82";"hsa-mir-203"
"83";"hsa-mir-205"
"84";"hsa-mir-20a"
"85";"hsa-mir-21"
"86";"hsa-mir-210"
"87";"hsa-mir-214"
"88";"hsa-mir-218-2"
"89";"hsa-mir-22"
"90";"hsa-mir-221"
"91";"hsa-mir-222"
"92";"hsa-mir-223"
"93";"hsa-mir-2355"
"94";"hsa-mir-23a"
"95";"hsa-mir-23b"
"96";"hsa-mir-24-1"
"97";"hsa-mir-24-2"
"98";"hsa-mir-25"
"99";"hsa-mir-26a-2"
"100";"hsa-mir-26b"
"101";"hsa-mir-27a"
"102";"hsa-mir-27b"
"103";"hsa-mir-28"
"104";"hsa-mir-29a"
"105";"hsa-mir-29b-1"
"106";"hsa-mir-29b-2"
"107";"hsa-mir-29c"
"108";"hsa-mir-3065"
"109";"hsa-mir-3074"
"110";"hsa-mir-30a"
"111";"hsa-mir-30b"
"112";"hsa-mir-30c-2"
"113";"hsa-mir-30d"
"114";"hsa-mir-30e"
"115";"hsa-mir-32"
"116";"hsa-mir-320a"
"117";"hsa-mir-324"
"118";"hsa-mir-328"
"119";"hsa-mir-330"
"120";"hsa-mir-331"
"121";"hsa-mir-337"
"122";"hsa-mir-338"
"123";"hsa-mir-339"
"124";"hsa-mir-340"
"125";"hsa-mir-342"
"126";"hsa-mir-345"
"127";"hsa-mir-34a"
"128";"hsa-mir-3607"
"129";"hsa-mir-361"
"130";"hsa-mir-3613"
"131";"hsa-mir-3647"
"132";"hsa-mir-365-1"
"133";"hsa-mir-365-2"
"134";"hsa-mir-3653"
"135";"hsa-mir-374a"
"136";"hsa-mir-374b"
"137";"hsa-mir-375"
"138";"hsa-mir-378"
"139";"hsa-mir-379"
"140";"hsa-mir-381"
"141";"hsa-mir-409"
"142";"hsa-mir-423"
"143";"hsa-mir-424"
"144";"hsa-mir-425"
"145";"hsa-mir-429"
"146";"hsa-mir-451"
"147";"hsa-mir-452"
"148";"hsa-mir-454"
"149";"hsa-mir-455"
"150";"hsa-mir-484"
"151";"hsa-mir-486"
"152";"hsa-mir-497"
"153";"hsa-mir-500a"
"154";"hsa-mir-501"
"155";"hsa-mir-505"
"156";"hsa-mir-532"
"157";"hsa-mir-539"
"158";"hsa-mir-542"
"159";"hsa-mir-574"
"160";"hsa-mir-576"
"161";"hsa-mir-582"
"162";"hsa-mir-584"
"163";"hsa-mir-589"
"164";"hsa-mir-590"
"165";"hsa-mir-625"
"166";"hsa-mir-628"
"167";"hsa-mir-629"
"168";"hsa-mir-660"
"169";"hsa-mir-664"
"170";"hsa-mir-7-1"
"171";"hsa-mir-708"
"172";"hsa-mir-744"
"173";"hsa-mir-769"
"174";"hsa-mir-874"
"175";"hsa-mir-9-1"
"176";"hsa-mir-9-2"
"177";"hsa-mir-92a-1"
"178";"hsa-mir-92a-2"
"179";"hsa-mir-92b"
"180";"hsa-mir-93"
"181";"hsa-mir-96"
"182";"hsa-mir-98"
"183";"hsa-mir-99a"
"184";"hsa-mir-99b"
