"";"x"
"KRT13_mRNA";-2,30945238513444
"CRH";1,34998699765814
"RIC3";-2,01073549044249
"GSTM1_mRNA";0,0736135476760319
"SYT8";-2,66747093361851
"GSTT1";0,0569719961386148
"SPOCD1";-2,44957836073425
"MUC2";-0,90299136664934
"LY6D";-1,48060303304102
"TNNT3";-1,78101356263166
"KRT20_mRNA";1,08505936434174
"KDM5D";-0,642415840578566
"CLCA4";-1,40076402170172
"PAX8";-1,10228630615252
"PRKY";-1,20951095315511
"GPR78";-1,27010087283521
"FABP4_mRNA";-0,720245010999615
"TXLNGY";-0,618552072372026
"TFF1";-0,48914982269619
"ADH1C";0,59254541790966
"ERN2";-2,12074605435937
"FAM83A";-0,243934961499321
"RPS4Y1";-0,302600956420926
"CCDC198";-0,413200100848514
"LOC284581";-0,714501854625466
"PADI3";-0,924925225754007
"PLXNB3";-2,42722775006401
"PLCH2";-2,24439719576342
"CLIC6";-1,04370500595076
"TRIM31";-1,027670921539
"PHGR1";0,0506622628448771
"KRT5_mRNA";-1,59261472946548
"LINC01268";-0,980388894912666
"LINC00967";1,03877940876427
"ZNF350-AS1";-0,336355823028436
"SULT1E1";0,577467474418854
"MAPK8IP1P2";-0,643397615288495
"RHEX";-1,7897473879633
"CYP4F8";-0,0654312317966172
"SNTG1";-0,237087349249608
"MROH2A";-1,88148846544648
"CRTAC1";-1,47412337194798
"CASQ1";-0,689089795946118
"ANXA10_mRNA";-1,39278044529074
"NPIPB15";-1,15931644947837
"MST1R";-1,89678836084562
"SERPINB3";-0,286847376885236
"ONECUT2";0,920558984561174
"C7";1,06891686400046
"CYP2C9";-0,582995379505081
"ZSCAN18";-1,93411239723143
"COL22A1";-1,34859504985736
"IGFBP5";-0,39233398970717
"CAPN8";-0,989371472497481
"IFITM10";-2,13385827069456
"CASC22";-0,527845505582773
"NNAT";-0,453308001823142
"GABBR1";-2,24984615472461
"HOXB5";-2,05952061548142
"SOX15";-1,98970783673433
"NEIL1";-2,26445621040116
"C3";-1,13782611289959
"TNNI2";-2,06161315857069
"CPZ";-1,39008435630559
"PPP1R1B";0,489921403843442
"LGALS4";-0,83749937175976
"KBTBD12";-1,48128674597934
"LINC00839";-0,300955356846048
"DDX3Y";-0,295700229045228
"IGFL1";-0,0546266508654818
"GSTA1";0,848298921553679
"STRA6";-1,11483065523259
"GIPR";-1,85244943868587
"COL9A2";-1,76791947704095
"S100A3";-1,64413977820248
"ARHGAP40";-1,92554194007855
"NLRP2";-0,147991850195315
"GABRE";-1,69361307344945
"USP32P1";-0,880250465105019
"LOC729737";-1,13884249271137
"AZGP1";0,00920677178172342
"FGFR3";-2,02213546915214
"EPOR";-1,86435941804984
"FAR2P1";0,197589126198552
"FUT3";-1,53884561906088
"EVPLL";-1,34494315498559
"GAD1";-0,967553647625184
"CCDC9B";-1,91527470621775
"HOXB2";-1,19682528698098
"ZNF812P";-0,679809358423853
"MIR31HG";-0,604989504597698
"CYP4F35P";-1,86917207629093
"ADH1B_mRNA";0,283942751458647
"IFNE";-1,20574927864952
"SCNN1A";-1,06548063811658
"WNT10A";-1,89953128811273
"LCN2";0,334108021033864
"CDH23";-1,0795807995221
"ADAM28";-1,57392885522315
"H19";-0,534260939301323
"RASAL1";-0,695402773280724
"SLC1A6";-0,0707351253712737
"NCCRP1_mRNA";-0,385541274639626
"PIGR";0,115503454336862
